,Incident Zip,corrected_pct,violation_pct,no-violation_pct,closed-no-access_pct,open_pct,multiple_offender_pct
0,10001.0,0.6496913580246914,0.007716049382716049,0.05864197530864197,0.2623456790123457,0.021604938271604937,0.4861111111111111
1,10002.0,0.6454720616570327,0.007707129094412331,0.06628131021194605,0.2697495183044316,0.010789980732177264,0.49479768786127165
2,10003.0,0.6576994434137291,0.003246753246753247,0.0663265306122449,0.26669758812615957,0.006029684601113173,0.487012987012987
3,10004.0,0.6575342465753424,0.0,0.1232876712328767,0.2191780821917808,0.0,0.5753424657534246
4,10005.0,0.8666666666666667,0.0,0.01904761904761905,0.11428571428571428,0.0,0.8285714285714286
5,10006.0,0.5333333333333333,0.0,0.16666666666666666,0.3,0.0,0.43333333333333335
6,10007.0,0.42105263157894735,0.0,0.15789473684210525,0.3684210526315789,0.05263157894736842,0.34210526315789475
7,10009.0,0.7226753670473083,0.008156606851549755,0.04377379010331702,0.21941272430668843,0.005981511691136488,0.567699836867863
8,10010.0,0.6332254584681769,0.002157497303128371,0.07659115426105717,0.2621359223300971,0.025889967637540454,0.5026968716289104
9,10011.0,0.6624605678233438,0.0056782334384858045,0.06687697160883281,0.2593059936908517,0.0056782334384858045,0.494006309148265
10,10012.0,0.6291913214990138,0.008875739644970414,0.0601577909270217,0.29289940828402367,0.008875739644970414,0.46745562130177515
11,10013.0,0.5640625,0.00625,0.0828125,0.34375,0.003125,0.3625
12,10014.0,0.6414545454545455,0.004363636363636364,0.06036363636363636,0.26545454545454544,0.028363636363636365,0.4596363636363636
13,10016.0,0.6458064516129032,0.0032258064516129032,0.07483870967741936,0.2651612903225806,0.01096774193548387,0.48516129032258065
14,10017.0,0.4934210526315789,0.013157894736842105,0.125,0.35526315789473684,0.013157894736842105,0.3092105263157895
15,10018.0,0.5512820512820513,0.00641025641025641,0.08653846153846154,0.33974358974358976,0.016025641025641024,0.3685897435897436
16,10019.0,0.6377228292121909,0.0034502587694077054,0.0621046578493387,0.2852213916043703,0.011500862564692352,0.46923519263944796
17,10021.0,0.5700325732899023,0.006514657980456026,0.06840390879478828,0.3501628664495114,0.004885993485342019,0.32084690553745926
18,10022.0,0.6407624633431085,0.011730205278592375,0.060117302052785926,0.27419354838709675,0.013196480938416423,0.44281524926686217
19,10023.0,0.5990338164251208,0.004830917874396135,0.08405797101449275,0.30434782608695654,0.007729468599033816,0.3893719806763285
20,10024.0,0.6332803391626921,0.007419183889772125,0.07207207207207207,0.2708002119766826,0.016428192898781134,0.45310015898251194
21,10025.0,0.7146231056878567,0.00492029128124385,0.06258610509742177,0.20901397362723872,0.00885652430623893,0.5412320409368234
22,10026.0,0.6397205588822356,0.00665335994677312,0.06686626746506986,0.25216234198270127,0.034597471723220224,0.5189620758483033
23,10027.0,0.6979918112692532,0.008968609865470852,0.06102554104113862,0.2074478455839345,0.024566192240202768,0.5940729186976019
24,10028.0,0.6389728096676737,0.00906344410876133,0.06722054380664652,0.277190332326284,0.0075528700906344415,0.4516616314199396
25,10029.0,0.6481149012567325,0.00615542446781226,0.0625801487560913,0.2595537317260836,0.023595793793280327,0.5129520389843549
26,10030.0,0.6847572059205401,0.008569202804466372,0.060763438068034276,0.21578810698519865,0.03012204622176058,0.5915346663204363
27,10031.0,0.680505624492636,0.007074104140090456,0.05810042908500522,0.21651397425489968,0.03780586802736866,0.5678998028528355
28,10032.0,0.7283475026567482,0.0071732199787460146,0.06097236981934113,0.18690223166843783,0.016604675876726885,0.5947130712008502
29,10033.0,0.7306761336130385,0.005002420526060997,0.06293367758592867,0.18976924318218494,0.011618525092786833,0.5739874132644828
30,10034.0,0.8016542070940035,0.0019087004930809608,0.03244790838237633,0.1565134404326388,0.00747574359790043,0.7036742484491808
31,10035.0,0.6346313173156587,0.014913007456503728,0.06503728251864126,0.23487986743993372,0.050538525269262634,0.5459817729908865
32,10036.0,0.6421052631578947,0.008906882591093117,0.05991902834008097,0.2736842105263158,0.015384615384615385,0.4785425101214575
33,10037.0,0.6687763713080169,0.004219409282700422,0.07665260196905767,0.229957805907173,0.020393811533052038,0.539381153305204
34,10038.0,0.5625,0.011029411764705883,0.09191176470588236,0.29411764705882354,0.04044117647058824,0.46691176470588236
35,10039.0,0.6534040671971706,0.0035366931918656055,0.060123784261715295,0.2409372236958444,0.041998231653404064,0.5459770114942529
36,10040.0,0.857838609455034,0.0021832227726929212,0.02703837433873541,0.10420690234276597,0.008732891090771685,0.7925098664875304
