cartodb_id,the_geom,bldgpostal,objectid,id,cty_fips,st_fips,borough,state,po_name,postalcode,latitude,longitude
13,0106000020E61000000100000001030000000100000019000000DC376E04976E52C0807A1A5A905C444055D96553916E52C0828EC6D4725C444053C01DB59E6E52C0B9DC64836E5C444057282C649F6E52C0AF98DC0B425C4440AABD20BCDB6E52C088B5DE8E2A5C444090D9923ADD6E52C05E11B53D355C44407B0ABE92EE6E52C0BAC3586D185C44409DEA3365216F52C0ACE63E73E95B44405B666A46F56F52C09F532EE2895B4440C2289023427052C06AF1016A605B44409D12D8E4767052C0059E6CF7EB5B44403B87809A1E7052C02081B226385C4440E26DFF32EA6F52C038BD8C627D5C444024053040D56F52C007DFBC99915C4440DE4550B0446F52C0CC3FF641435D44409F555EF9416F52C0C5E91540505D44403E02DC95F36E52C0111683ED2C5D4440EDF14786EA6E52C04964639E5B5D444076596E8ECC6E52C059DAE7254E5D444058EC287ED26E52C06F1BD96B2E5D44401D2BD425D26E52C0B3751299225D4440BE41EDC3B66E52C0F7589E31945C4440F03B9F849D6E52C0C33A56659F5C4440841528369A6E52C0BD839B058E5C4440DC376E04976E52C0807A1A5A905C4440,0,13,http://nyc.pediacities.com/Resource/PostalCode/11428,081,36,Queens,NY,Queens Village,11428,40.721361153,-73.74163981
175,0106000020E6100000010000000103000000010000000A00000091AABF1F1D7152C0D387926AC74E44400354A1FF417152C0DB306441CD4E444000C36BA8537152C0BBE52ADCD74E4440D476AD89517152C03AED66C4F04E444010243A193A7152C0C70823233D4F4440DF74AEE72A7152C087F5F8A7604F4440E0DF22C31D7152C0D6A3A1EC6D4F4440055B7363187152C0FD78C60A6D4F4440315C9A82077152C005677181CE4E444091AABF1F1D7152C0D387926AC74E4440,0,175,http://nyc.pediacities.com/Resource/PostalCode/11096,081,36,Queens,NY,Inwood,11096,40.617515185,-73.768204645
180,0106000020E6100000010000000103000000010000000500000084F57F85F06F52C0A7F39DCD4F4E44402B34EFA6D36F52C09386A39A594E4440C8CAB25ECD6F52C08755C1024D4E4440758D1751E76F52C0529E96F9394E444084F57F85F06F52C0A7F39DCD4F4E4440,0,180,http://nyc.pediacities.com/Resource/PostalCode/11096,081,36,Queens,NY,Inwood,11096,40.611677184,-73.748007055
9,0106000020E6100000010000000103000000010000001B00000091C3F8CB776F52C0AA70AD3A505E44404CF70750156F52C0A4541DFB7A5E44404D63F622F66E52C01B0F9C40945E44401AC34283026F52C0F50D85FF225E4440993E6222076F52C03F1AE7D3195E44408AB5318E116F52C03F0B1912E25D444041DA616ECB6E52C090299180C85D44402DB9B5FBD76E52C016AA28E88E5D4440B7056303E86E52C0DD33D0D88F5D4440B04B29C9E56E52C06C50868F7B5D444050B2653AC46E52C0047C6364795D444076596E8ECC6E52C059DAE7254E5D4440EDF14786EA6E52C04964639E5B5D44403E02DC95F36E52C0111683ED2C5D44409F555EF9416F52C0C5E91540505D4440DE4550B0446F52C0CC3FF641435D444024053040D56F52C007DFBC99915C4440E26DFF32EA6F52C038BD8C627D5C44403B87809A1E7052C02081B226385C44409D12D8E4767052C0059E6CF7EB5B4440B3590BCFAB7052C00272AD77725C44400E032572BE7052C05E73BACB8C5C44406590E6FBE97052C0683265E1B75C44404FC9AEB2FB7052C0B90F9719D25C44408609F96D497152C0EB2CECF0AA5D4440C697A39CDA6F52C005FFC6F8265E444091C3F8CB776F52C0AA70AD3A505E4440,0,9,http://nyc.pediacities.com/Resource/PostalCode/11427,081,36,Queens,NY,Queens Village,11427,40.729201241,-73.750637007
47,0106000020E6100000010000000103000000010000004D000000C485E0CBC47852C0646154D7F470444045EF9BDEB27852C0726F4887B270444063B39994AE7852C03B4770717F70444044A2D122A97852C0B8A586E6887044403134DFA3A07852C0255B2B3C7170444000C629EBCB7852C0FBECA419B26F4440B2423AE3D87852C027586198966F4440F1D7EEBF057952C08B98355E616F4440426CC190147952C097D398AB466F4440C7C46E9C6A7952C01BC844E5646E4440ECB709C6987952C0CDDC13F0BF6D4440FF583A14D67952C005A9E02CEA6D4440D7A39CA1D97952C0C1B36CFDDE6D44403FB7BCF7087A52C04A475CF4FF6D44401B304683107A52C0BC89464BFF6D4440BB193E982F7A52C022726D521E6E444073528A1B3F7A52C0A26C05E7176E4440FA51A10F4E7A52C017F3D62E286E44409D3E30EA627A52C0BB99CA431A6E44403F71A659787A52C0AB6A7707026E444001160F37967A52C08232F7F1EA6D44400D2126019B7A52C06933C1DCE16D4440E98CCB629D7A52C01428005ED36D44409CF70787AE7A52C0E7438D4BDD6D44408495817CA37A52C066A6B063FA6D44405370511C977A52C0C5CE3A3A106E4440E83182519D7A52C0B0C01B86196E4440C28CC1CE757A52C03FC8FA585A6E44402E81B5E2827A52C01C045524666E44403C48BCF7747A52C04FC61F7F826E444055DEE2236B7A52C0A0BA86B5776E4440FC9FF7D5677A52C01F9064FF7B6E444007A1457D637A52C024A775E08B6E44405EC91D32687A52C01DA1D012926E4440A0CAF899687A52C01E04DE229A6E4440D7D5685D437A52C082990B36F06E444023A3908B357A52C064552832336F4440888F9D51347A52C0813671CF3A6F444020A36383367A52C016F9D97A3D6F4440CBE591FC327A52C0C3322A883F6F44407DC5F9F22C7A52C09718A4F4806F4440E43761F6277A52C0333112BE886F4440A1AD719D287A52C0AED27F4E936F4440292322B81F7A52C0305D1BA7AF6F4440DE76AE55107A52C0BCC6A09CBD6F4440B23E23200F7A52C040205C70CE6F44404C315F37F77952C036C2CEFBC26F4440ED9256841C7A52C05BA53EB2226F4440BA825198237A52C03EACFBD8F56E4440B15769AB247A52C00DE2E6A3C36E4440C6220D7F1B7A52C01693AEBDDB6E44405A90FE8F137A52C08D78CCFE066F44407F2296A20A7A52C06EFE0C501D6F4440B49BC715D97952C0A03339CC526F4440145D81E2D67952C0CB0311194E6F44402F054D1EC77952C0E7831E77696F4440E41A84AEC17952C0303AFF987C6F4440310623C2BC7952C0A4DA9928AE6F444031EEA3A5AD7952C0C41A677A00704440D459B4BFA47952C0C336CD2B167044401E5FD5428C7952C0C05B83874070444073D4E5E07C7952C01FD334B76C7044404AB5D015707952C0DDA63DCE817044408209D941677952C0A0D692169970444045F0B7D2637952C0648E0909A77044405B4E4343607952C0D8292D91D7704440538960B3597952C0E61B76FDE8704440256E67414F7952C0D3D14F16F570444062239804427952C0F1397E90D370444064A931F5217952C08D8FF19ADC70444035E7508F217952C04B2DDA69D97044407EA444851F7952C0FE7D8BFED9704440EFDB808C1F7952C0BB25911FDD704440A385EAAEF27852C0561929F7E9704440AAEAAB4ADC7852C02D1EE4DBEA704440E9138B7CD17852C0913E16E5F3704440C485E0CBC47852C0646154D7F4704440,0,47,http://nyc.pediacities.com/Resource/PostalCode/10468,005,36,Bronx,NY,Bronx,10468,40.869746954,-73.898905627
48,0106000020E61000000100000001030000000100000011000000DEB00D96967A52C006A75C5D13704440DC6713C9907A52C0F37E4A0531704440EB26D3BE647A52C0939192BE657044404E6E7ABC577A52C025586FD2897044408924AF75377A52C00DC5ABD87C704440A70BE9A8317A52C030C8B67B637044404CCF39B81F7A52C0F023E2694E704440A94AF87A137A52C0870144122E704440F9580B3A0F7A52C03662427ACE6F4440B23E23200F7A52C040205C70CE6F4440DE76AE55107A52C0BCC6A09CBD6F4440292322B81F7A52C0305D1BA7AF6F4440A1AD719D287A52C0AED27F4E936F44403E54EBC4357A52C0938EAC2CBF6F4440A5FA20DA4A7A52C099FD3E60E26F4440139C53D7587A52C0EACB7142EF6F4440DEB00D96967A52C006A75C5D13704440,0,48,http://nyc.pediacities.com/Resource/PostalCode/10463,061,36,Manhattan,NY,Bronx,10463,40.875865228,-73.910551171
49,0106000020E610000001000000010300000001000000320000003134DFA3A07852C0255B2B3C7170444001877A15A07852C0AEECBE3F6F70444034BFDB33977852C0F698A9F679704440867DA855867852C05640D01331704440AE8B65167C7852C01F6535A42970444065EC1441617852C0B7218312936F44408DFBA4D6607852C01FC7F1216C6F4440FFCCB7D05D7852C0CC349339596F4440358840844A7852C046523469116F4440FFA79F7A377852C032C8A14B326F444056BA0E1C2D7852C04D332FB83B6F44406CF03B9E217852C03C2010DE3B6F4440AF918585187852C072A55D23366F4440072CFCED0D7852C0BA0881E7256F4440467ED706007852C095C35784FD6E4440ECA2F393F67752C06478F656F76E4440B5E31E24FF7752C0E7559640E76E4440E8680AE8057852C07BA68E6ED76E444023C90DD8047852C0D96BE891CC6E4440D1509604EF7752C008BF7868846E444053C10377FC7752C0A68458A3566E444055C1EADF097852C000F26B9D3E6E4440BC88E7250E7852C029041794296E4440E96E070C1A7852C0E72BA597126E4440B57DADEB1A7852C03A0D60350A6E44402D800505167852C06E4EE5F6F36D444095E839EC207852C0353B43BAC46D4440884B1EFE237852C0C3CD231AA06D4440DF20B9B61E7852C02E10C78D7D6D4440AFED0152347852C00EB8636A846D444019CA03E05E7852C06FA62E37B46D44406F447D215D7852C0C5D32E0DAB6D4440E54CF33D6D7852C076E6B3833A6D44404EB7E4B17E7852C09AB4026D446D44404FAE2282907852C0BCF6FDEDFD6C4440C8338BC8EF7852C0AF33BEEC346D4440FE142EBBEF7852C0C2CD4FA1446D444066C76324FC7852C0585EAC73666D4440B827F089047952C0C748F4B3536D44408DC946EF1C7952C0A9D302416E6D4440B79AB9844E7952C0CF4B08E4976D4440981BF431517952C098A02172996D4440E28218B3537952C08205B1D2916D4440ECB709C6987952C0CDDC13F0BF6D4440C7C46E9C6A7952C01BC844E5646E4440426CC190147952C097D398AB466F4440F1D7EEBF057952C08B98355E616F4440B2423AE3D87852C027586198966F444000C629EBCB7852C0FBECA419B26F44403134DFA3A07852C0255B2B3C71704440,0,49,http://nyc.pediacities.com/Resource/PostalCode/10458,005,36,Bronx,NY,Bronx,10458,40.862966714,-73.886048938
118,0106000020E610000001000000010300000001000000090000002AB420C6677D52C0BDD11C553E5F4440B69DC671667D52C070CE861E455F44406FFA58745F7D52C014A5D2AF475F4440EF0D728A5C7D52C06EE87B175C5F4440C42600E9577D52C0898EBDC85F5F44400900949A2E7D52C0EEC46CDB4D5F4440858ACA81327D52C04251D32E375F4440D5D9DCFC4A7D52C0F3489D9A405F44402AB420C6677D52C0BDD11C553E5F4440,0,118,http://nyc.pediacities.com/Resource/PostalCode/11109,081,36,Queens,NY,Long Island City,11109,40.744464436,-73.957627607
82,0106000020E6100000010000000103000000010000000D000000AFCF89D2927C52C0944D95337C664440D287501F947B52C068F79239A8654440F4F7BB3FBB7B52C0E6BAE7FD7C654440EBA0639DE47B52C0B05A09AE42654440D8FC3AF4F87B52C05A0ACC990A6544404AE4AC090A7C52C01180C78FC264444029C0BF20267C52C0311861668364444026B3D52C517C52C08707FC0957644440399EF5435D7C52C08157FD3846644440978D9FCE637C52C05C7159D733644440CA67CE5C2B7D52C052D02216DA64444035202A07C07C52C077B59F2401664440AFCF89D2927C52C0944D95337C664440,0,82,http://nyc.pediacities.com/Resource/PostalCode/10029,061,36,Manhattan,NY,New York,10029,40.791595447,-73.944124647
88,0106000020E61000000100000001030000000100000012000000978D9FCE637C52C05C7159D733644440335E9181687C52C0E6619DEC006444401CBFC1965D7C52C04C15BC51BF63444047D470A4597C52C01BEE5DA5CA63444098A15361557C52C05CB3CC73C7634440C2D8EE67557C52C00380AF51BD6344400C3423C0527C52C06976E81FBB6344407D7C2861587C52C0896DEF8BA9634440C178C45F527C52C0172570378A634440407D17375A7C52C0DC7C24DA846344401FEC6D0D6F7C52C09FC9FD19476344409359E83E777C52C09B1176294E634440D414E1617F7C52C02BCA4B0E38634440A7A935A39D7C52C04E63BCA9516344404EEDA38F957C52C067EB4DC3676344400A9B39586F7D52C05C40EE8D1F644440CA67CE5C2B7D52C052D02216DA644440978D9FCE637C52C05C7159D733644440,0,88,http://nyc.pediacities.com/Resource/PostalCode/10128,061,36,Manhattan,NY,New York,10128,40.781769858,-73.950587826
