,Incident Zip,multiple_offender,multiple_offender_pct
0,10001.0,315,0.486111111111
1,10002.0,1284,0.494797687861
2,10003.0,1050,0.487012987013
3,10004.0,42,0.575342465753
4,10005.0,87,0.828571428571
5,10006.0,13,0.433333333333
6,10007.0,13,0.342105263158
7,10009.0,2088,0.567699836868
8,10010.0,466,0.502696871629
9,10011.0,783,0.494006309148
10,10012.0,474,0.467455621302
11,10013.0,232,0.3625
12,10014.0,632,0.459636363636
13,10016.0,752,0.485161290323
14,10017.0,47,0.309210526316
15,10018.0,115,0.36858974359
16,10019.0,816,0.469235192639
17,10021.0,197,0.320846905537
18,10022.0,302,0.442815249267
19,10023.0,403,0.389371980676
20,10024.0,855,0.453100158983
21,10025.0,2750,0.541232040937
22,10026.0,1560,0.518962075848
23,10027.0,3047,0.594072918698
24,10028.0,598,0.45166163142
25,10029.0,2000,0.512952038984
26,10030.0,2278,0.59153466632
27,10031.0,4897,0.567899802853
28,10032.0,4477,0.594713071201
29,10033.0,3557,0.573987413264
30,10034.0,4424,0.703674248449
31,10035.0,1318,0.545981772991
32,10036.0,591,0.478542510121
33,10037.0,767,0.539381153305
34,10038.0,127,0.466911764706
35,10039.0,1235,0.545977011494
36,10040.0,9438,0.792509866488
37,10044.0,36,0.529411764706
38,10065.0,295,0.393858477971
39,10069.0,0,0.0
40,10075.0,255,0.380597014925
41,10128.0,661,0.460306406685
42,10280.0,3,0.15
43,10282.0,1,0.333333333333
44,10301.0,299,0.352179034158
45,10302.0,84,0.296819787986
46,10303.0,126,0.376119402985
47,10304.0,322,0.36384180791
48,10305.0,67,0.287553648069
49,10306.0,99,0.28612716763
50,10307.0,10,0.294117647059
51,10308.0,2,0.0952380952381
52,10309.0,16,0.301886792453
53,10310.0,60,0.285714285714
54,10312.0,15,0.241935483871
55,10314.0,46,0.228855721393
56,10451.0,2969,0.623215785055
57,10452.0,7004,0.609998258143
58,10453.0,6642,0.565806286737
59,10454.0,931,0.4606630381
60,10455.0,2249,0.569078947368
61,10456.0,4854,0.530491803279
62,10457.0,4671,0.528692699491
63,10458.0,7228,0.547368421053
64,10459.0,2047,0.459071540704
65,10460.0,2838,0.492366412214
66,10461.0,1910,0.558316281789
67,10462.0,4440,0.606391696258
68,10463.0,8977,0.751905519725
69,10464.0,32,0.363636363636
70,10465.0,171,0.355509355509
71,10466.0,2049,0.442357512953
72,10467.0,7522,0.532229533715
73,10468.0,7046,0.584827357238
74,10469.0,632,0.328141225337
75,10470.0,755,0.509103169252
76,10471.0,307,0.463046757164
77,10472.0,2947,0.49940688019
78,10473.0,1031,0.520970186963
79,10474.0,463,0.396743787489
80,10475.0,47,0.295597484277
81,10803.0,1,0.333333333333
82,11001.0,7,0.4375
83,11004.0,5,0.151515151515
84,11005.0,0,
85,11040.0,0,0.0
86,11101.0,331,0.493293591654
87,11102.0,422,0.452789699571
88,11103.0,509,0.420661157025
89,11104.0,920,0.547945205479
90,11105.0,581,0.483763530391
91,11106.0,658,0.514866979656
92,11109.0,0,0.0
93,11201.0,409,0.409409409409
94,11203.0,3514,0.509496882703
95,11204.0,1287,0.517907444668
96,11205.0,645,0.487897125567
97,11206.0,956,0.403375527426
98,11207.0,1812,0.358315206644
99,11208.0,1837,0.38543852287
100,11209.0,1763,0.533595641646
101,11210.0,1629,0.475759345794
102,11211.0,662,0.376350198977
103,11212.0,4063,0.525818558302
104,11213.0,4939,0.544122507436
105,11214.0,1380,0.435881238155
106,11215.0,642,0.37631887456
107,11216.0,2505,0.435955447268
108,11217.0,522,0.465655664585
109,11218.0,1729,0.495557466323
110,11219.0,900,0.4039497307
111,11220.0,1118,0.375798319328
112,11221.0,2259,0.3934169279
113,11222.0,666,0.478792235802
114,11223.0,1176,0.495366470093
115,11224.0,640,0.445682451253
116,11225.0,5088,0.568682239857
117,11226.0,7025,0.527838304906
118,11228.0,216,0.40831758034
119,11229.0,1281,0.484310018904
120,11230.0,2498,0.505361116731
121,11231.0,403,0.496917385943
122,11232.0,449,0.444114737883
123,11233.0,2493,0.421970209885
124,11234.0,437,0.377049180328
125,11235.0,2442,0.556010928962
126,11236.0,843,0.368283093054
127,11237.0,974,0.362216437337
128,11238.0,2161,0.504670714619
129,11239.0,101,0.567415730337
130,11249.0,328,0.519809825674
131,11354.0,470,0.468594217348
132,11355.0,1233,0.568202764977
133,11356.0,64,0.321608040201
134,11357.0,64,0.288288288288
135,11358.0,116,0.331428571429
136,11360.0,14,0.241379310345
137,11361.0,93,0.432558139535
138,11362.0,13,0.309523809524
139,11363.0,13,0.371428571429
140,11364.0,99,0.310344827586
141,11365.0,102,0.423236514523
142,11366.0,25,0.301204819277
143,11367.0,576,0.458598726115
144,11368.0,1042,0.494542002848
145,11369.0,285,0.438461538462
146,11370.0,87,0.327067669173
147,11372.0,949,0.46956952004
148,11373.0,1804,0.588580750408
149,11374.0,844,0.572591587517
150,11375.0,834,0.519950124688
151,11377.0,1293,0.551385927505
152,11378.0,221,0.498871331828
153,11379.0,122,0.445255474453
154,11385.0,1099,0.399781738814
155,11411.0,37,0.255172413793
156,11412.0,415,0.433194154489
157,11413.0,279,0.427914110429
158,11414.0,78,0.330508474576
159,11415.0,557,0.564336372847
160,11416.0,127,0.304556354916
161,11417.0,197,0.410416666667
162,11418.0,335,0.41822721598
163,11419.0,235,0.304010349288
164,11420.0,152,0.296875
165,11421.0,311,0.400773195876
166,11422.0,110,0.289473684211
167,11423.0,289,0.41884057971
168,11426.0,16,0.296296296296
169,11427.0,263,0.499051233397
170,11428.0,110,0.426356589147
