,zipcode,change_RZSF,avg_RZSF
0,10001,0.0262172284644,4.1286506153
1,10002,0.0848842487517,4.47538872317
2,10003,0.0541027953111,4.38850367126
3,10004,0.090782122905,4.41345650439
4,10005,0.0634169427354,4.33097917653
5,10006,0.142980561555,4.94889216291
6,10009,-0.0201742320037,4.16177949171
7,10010,0.161306042885,4.31097521582
8,10011,0.0181358076761,4.61386199313
9,10014,0.0232952138924,4.59147482907
10,10016,0.0585276634659,4.36594741655
11,10017,0.0342139454309,4.58015049805
12,10018,0.0342362678706,5.29872272385
13,10019,0.0082406262876,4.6755085938
14,10021,0.0658767772512,4.27213845633
15,10022,0.00353825740823,4.38434065205
16,10023,0.0264844083725,4.50880301458
17,10024,0.0299572039943,4.18206990014
18,10025,0.127077747989,3.98110991957
19,10026,0.21568627451,2.97870308123
20,10027,0.31627430911,2.2296526539
21,10028,0.0373056994819,3.86218948927
22,10029,0.00636942675159,3.34487033667
23,10030,0.189707366297,2.17656097737
24,10031,0.144082332762,2.47743151188
25,10032,0.135895032802,2.24535339403
26,10035,0.0994475138122,2.60983741121
27,10036,0.0284206252538,4.80251502233
28,10038,0.0687622789784,4.15681293853
29,10044,0.108337493759,4.15644062478
30,10065,0.0380722891566,4.13543115318
31,10069,0.0204882301656,4.38223172251
32,10075,0.0584123814279,4.10137187077
33,10128,0.159143518519,3.77511226852
34,10280,0.146830825353,4.77467252948
35,10301,0.28488372093,1.24538870432
36,10302,0.212560386473,1.39816287095
37,10303,0.177952755906,1.39642688414
38,10304,0.285163776493,1.24425584916
39,10305,0.240072202166,1.32807400722
40,10306,0.322862129145,1.41717364747
41,10307,0.249034749035,1.17396552675
42,10308,0.343525179856,1.38226875642
43,10309,0.319004524887,1.07396444732
44,10310,0.250896057348,1.30596057348
45,10312,0.302281368821,1.25815290603
46,10314,0.263339070568,1.37090496681
47,10456,0.238546603476,1.37709095012
48,10459,0.271777003484,1.28663489298
49,10461,0.199561403509,1.00298433584
50,10462,0.283582089552,1.94941364606
51,10463,0.307835820896,1.28170842217
52,10464,0.226744186047,1.2004551495
53,10465,0.160337552743,1.02451205546
54,10466,0.152777777778,1.08888492063
55,10467,0.239130434783,1.03432608696
56,10469,0.192488262911,0.936303152247
57,10470,0.161290322581,0.943046082949
58,10471,0.440963855422,1.08474870912
59,10473,0.296762589928,1.24145580678
60,10803,0.0824524312896,1.90944472969
61,11001,0.157181571816,1.59197077042
62,11004,0.154241645244,1.60786577304
63,11040,0.134236453202,1.73507987333
64,11101,0.69014084507,2.52036217304
65,11102,0.349867139061,2.56178096925
66,11103,0.372469635628,1.71858820127
67,11104,0.34748603352,2.09183878691
68,11105,0.297333333333,1.71226190476
69,11106,0.375872382851,2.36778115653
70,11201,0.153001464129,2.95675005229
71,11203,0.384885764499,1.32946020587
72,11204,0.366788321168,1.3405995829
73,11205,0.31847826087,2.18208850932
74,11206,0.294047619048,1.91214455782
75,11207,0.135593220339,1.56277118644
76,11208,0.230543318649,1.47159083281
77,11209,0.454,1.28971428571
78,11210,0.373540856031,1.214483602
79,11211,0.239683933275,2.57006014047
80,11212,0.119463087248,1.51469511026
81,11213,0.5,1.08585714286
82,11214,0.276661514683,1.44930933981
83,11215,0.306841046278,2.28317289451
84,11216,0.482388973966,1.59965674907
85,11217,0.262340036563,2.48201214416
86,11218,0.438511326861,1.52766111882
87,11219,0.33216168717,1.34922006026
88,11220,0.335092348285,1.76253901244
89,11221,0.706310679612,1.1205110957
90,11222,0.348051948052,2.74178756957
91,11223,0.373626373626,1.33677237049
92,11224,0.230551626591,1.58837684381
93,11225,0.595454545455,1.14848051948
94,11226,0.434,1.20071428571
95,11228,0.357541899441,1.29876935355
96,11229,0.38829787234,1.3510106383
97,11231,0.257045260461,2.65368018787
98,11232,0.362512873326,2.27358974548
99,11233,0.269798657718,1.62477852349
100,11234,0.31,1.373
101,11235,0.281065088757,1.5022523246
102,11236,0.198571428571,1.49094897959
103,11237,0.483009708738,2.01325034674
104,11238,0.357497517378,2.37555348276
105,11249,0.396920444825,2.8756043016
106,11354,0.166666666667,1.72002380952
107,11355,0.200998751561,1.72467852684
108,11356,0.179063360882,1.54189512003
109,11357,0.120786516854,1.46652808989
110,11358,0.176197836167,1.37279277986
111,11360,0.0749414519906,1.69167648043
112,11361,0.15033557047,1.55751198466
113,11362,0.166666666667,1.4080952381
114,11363,0.157094594595,1.22703909266
115,11364,0.155313351499,1.5313326197
116,11365,0.140730717185,1.53309752561
117,11366,0.125884016973,1.44856728632
118,11367,0.164116828929,1.52086131532
119,11368,0.212539851222,2.01409070897
