,Incident Zip,total,corrected_pct,no-violation_pct,violation_pct,closed-no-access_pct,open_pct,multiple_offender_pct
0,10001.0,648.0,0.649691358025,0.0586419753086,0.00771604938272,0.262345679012,0.0216049382716,0.486111111111
1,10002.0,2595.0,0.645472061657,0.0662813102119,0.00770712909441,0.269749518304,0.0107899807322,0.494797687861
2,10003.0,2156.0,0.657699443414,0.0663265306122,0.00324675324675,0.266697588126,0.00602968460111,0.487012987013
3,10004.0,73.0,0.657534246575,0.123287671233,0.0,0.219178082192,0.0,0.575342465753
4,10005.0,105.0,0.866666666667,0.0190476190476,0.0,0.114285714286,0.0,0.828571428571
5,10006.0,30.0,0.533333333333,0.166666666667,0.0,0.3,0.0,0.433333333333
6,10007.0,38.0,0.421052631579,0.157894736842,0.0,0.368421052632,0.0526315789474,0.342105263158
7,10009.0,3678.0,0.722675367047,0.0437737901033,0.00815660685155,0.219412724307,0.00598151169114,0.567699836868
8,10010.0,927.0,0.633225458468,0.0765911542611,0.00215749730313,0.26213592233,0.0258899676375,0.502696871629
9,10011.0,1585.0,0.662460567823,0.0668769716088,0.00567823343849,0.259305993691,0.00567823343849,0.494006309148
10,10012.0,1014.0,0.629191321499,0.060157790927,0.00887573964497,0.292899408284,0.00887573964497,0.467455621302
11,10013.0,640.0,0.5640625,0.0828125,0.00625,0.34375,0.003125,0.3625
12,10014.0,1375.0,0.641454545455,0.0603636363636,0.00436363636364,0.265454545455,0.0283636363636,0.459636363636
13,10016.0,1550.0,0.645806451613,0.0748387096774,0.00322580645161,0.265161290323,0.0109677419355,0.485161290323
14,10017.0,152.0,0.493421052632,0.125,0.0131578947368,0.355263157895,0.0131578947368,0.309210526316
15,10018.0,312.0,0.551282051282,0.0865384615385,0.00641025641026,0.339743589744,0.0160256410256,0.36858974359
16,10019.0,1739.0,0.637722829212,0.0621046578493,0.00345025876941,0.285221391604,0.0115008625647,0.469235192639
17,10021.0,614.0,0.57003257329,0.0684039087948,0.00651465798046,0.35016286645,0.00488599348534,0.320846905537
18,10022.0,682.0,0.640762463343,0.0601173020528,0.0117302052786,0.274193548387,0.0131964809384,0.442815249267
19,10023.0,1035.0,0.599033816425,0.0840579710145,0.0048309178744,0.304347826087,0.00772946859903,0.389371980676
20,10024.0,1887.0,0.633280339163,0.0720720720721,0.00741918388977,0.270800211977,0.0164281928988,0.453100158983
21,10025.0,5081.0,0.714623105688,0.0625861050974,0.00492029128124,0.209013973627,0.00885652430624,0.541232040937
22,10026.0,3006.0,0.639720558882,0.0668662674651,0.00665335994677,0.252162341983,0.0345974717232,0.518962075848
23,10027.0,5129.0,0.697991811269,0.0610255410411,0.00896860986547,0.207447845584,0.0245661922402,0.594072918698
24,10028.0,1324.0,0.638972809668,0.0672205438066,0.00906344410876,0.277190332326,0.00755287009063,0.45166163142
25,10029.0,3899.0,0.648114901257,0.0625801487561,0.00615542446781,0.259553731726,0.0235957937933,0.512952038984
26,10030.0,3851.0,0.684757205921,0.060763438068,0.00856920280447,0.215788106985,0.0301220462218,0.59153466632
27,10031.0,8623.0,0.680505624493,0.058100429085,0.00707410414009,0.216513974255,0.0378058680274,0.567899802853
28,10032.0,7528.0,0.728347502657,0.0609723698193,0.00717321997875,0.186902231668,0.0166046758767,0.594713071201
29,10033.0,6197.0,0.730676133613,0.0629336775859,0.00500242052606,0.189769243182,0.0116185250928,0.573987413264
30,10034.0,6287.0,0.801654207094,0.0324479083824,0.00190870049308,0.156513440433,0.0074757435979,0.703674248449
31,10035.0,2414.0,0.634631317316,0.0650372825186,0.0149130074565,0.23487986744,0.0505385252693,0.545981772991
32,10036.0,1235.0,0.642105263158,0.0599190283401,0.00890688259109,0.273684210526,0.0153846153846,0.478542510121
33,10037.0,1422.0,0.668776371308,0.0766526019691,0.0042194092827,0.229957805907,0.0203938115331,0.539381153305
34,10038.0,272.0,0.5625,0.0919117647059,0.0110294117647,0.294117647059,0.0404411764706,0.466911764706
35,10039.0,2262.0,0.653404067197,0.0601237842617,0.00353669319187,0.240937223696,0.0419982316534,0.545977011494
36,10040.0,11909.0,0.857838609455,0.0270383743387,0.00218322277269,0.104206902343,0.00873289109077,0.792509866488
37,10044.0,68.0,0.705882352941,0.102941176471,0.0,0.161764705882,0.0294117647059,0.529411764706
38,10065.0,749.0,0.575433911883,0.0734312416555,0.00400534045394,0.341789052069,0.00534045393858,0.393858477971
39,10069.0,3.0,0.333333333333,0.0,0.0,0.666666666667,0.0,0.0
40,10075.0,670.0,0.592537313433,0.0626865671642,0.0044776119403,0.337313432836,0.00298507462687,0.380597014925
41,10128.0,1436.0,0.631615598886,0.0612813370474,0.00348189415042,0.289693593315,0.0139275766017,0.460306406685
42,10280.0,20.0,0.45,0.1,0.0,0.45,0.0,0.15
43,10282.0,3.0,0.333333333333,0.333333333333,0.0,0.333333333333,0.0,0.333333333333
44,10301.0,849.0,0.498233215548,0.177856301531,0.0141342756184,0.309776207303,0.0,0.352179034158
45,10302.0,283.0,0.459363957597,0.194346289753,0.0353356890459,0.293286219081,0.017667844523,0.296819787986
46,10303.0,335.0,0.444776119403,0.194029850746,0.0298507462687,0.250746268657,0.0805970149254,0.376119402985
47,10304.0,885.0,0.446327683616,0.221468926554,0.019209039548,0.273446327684,0.0395480225989,0.36384180791
48,10305.0,233.0,0.442060085837,0.210300429185,0.0343347639485,0.304721030043,0.00858369098712,0.287553648069
49,10306.0,346.0,0.465317919075,0.234104046243,0.00578034682081,0.291907514451,0.0028901734104,0.28612716763
